sec,CH1,CH14,CH40,CH42,CH47,CH54
11390.5,-1.23871,13.8977,2.81,11.583,1276,5
11390.5,-1.23932,13.8947,2.81,11.583,1276,5
11390.5,-1.23932,13.8916,2.81,11.583,1276,5
11390.5,-1.23962,13.8947,2.81,11.583,1276,5
11390.5,-1.23901,13.8931,2.81,11.583,1276,5
11390.5,-1.23932,13.8901,2.81,11.583,1276,5
11390.5,-1.23901,13.8931,2.81,11.583,1276,5
11390.5,-1.23901,13.8947,2.81,11.583,1276,5
11390.5,-1.23962,13.8931,2.81,11.583,1276,5
11390.5,-1.23962,13.8977,2.81,11.583,1276,5
11390.5,-1.23901,13.8962,2.81,11.583,1276,5
11390.5,-1.23993,13.8916,2.81,11.583,1276,5
11390.5,-1.23932,13.8947,2.81,11.583,1276,5
11390.5,-1.23932,13.8962,2.81,11.583,1276,5
11390.5,-1.24359,13.8947,2.81,11.583,1276,5
11390.5,-1.24359,13.8977,2.81,11.583,1276,5
11390.5,-1.24451,13.8916,2.81,11.583,1276,5
11390.5,-1.24451,13.8947,2.81,11.583,1276,5
11390.5,-1.2442,13.8962,2.81,11.583,1276,5
11390.5,-1.24359,13.8962,2.81,11.583,1276,5
11390.5,-1.2442,13.8947,2.81,11.583,1276,5
11390.5,-1.2442,13.8977,2.81,11.583,1276,5
11390.5,-1.24481,13.8916,2.81,11.583,1276,5
11390.5,-1.2442,13.8947,2.81,11.583,1276,5
11390.6,-1.2442,13.8977,2.81,11.583,1276,5
11390.6,-1.2442,13.8916,2.81,11.583,1276,5
11390.6,-1.24359,13.8947,2.81,11.583,1276,5
11390.6,-1.2442,13.8931,2.81,11.583,1276,5
11390.6,-1.2439,13.8962,2.81,11.583,1276,5
11390.6,-1.24451,13.8962,2.81,11.583,1276,5
11390.6,-1.2439,13.8977,2.81,11.583,1276,5
11390.6,-1.2439,13.8947,2.81,11.583,1276,5
11390.6,-1.2439,13.8962,2.81,11.583,1276,5
11390.6,-1.2442,13.8962,2.81,11.583,1276,5
11390.6,-1.2442,13.8947,2.81,11.583,1276,5
11390.6,-1.2442,13.8931,2.81,11.583,1276,5
11390.6,-1.24481,13.8947,2.81,11.583,1276,5
11390.6,-1.2439,13.8916,2.81,11.583,1276,5
11390.6,-1.24359,13.8947,2.81,11.583,1276,5
11390.6,-1.2442,13.8947,2.81,11.583,1276,5
11390.6,-1.2439,13.8962,2.81,11.583,1276,5
11390.6,-1.2442,13.8931,2.81,11.583,1276,5
11390.6,-1.24359,13.9084,2.81,11.583,1276,5
11390.6,-1.24451,13.9114,2.81,11.583,1276,5
11390.6,-1.24451,13.9069,2.81,11.583,1276,5
11390.6,-1.2439,13.9084,2.81,11.583,1276,5
11390.6,-1.2442,13.9084,2.81,11.583,1276,5
11390.6,-1.24329,13.9069,2.81,11.583,1276,5
11390.6,-1.23932,13.9099,2.81,11.583,1276,5
11390.6,-1.23901,13.9069,2.81,11.583,1276,5
11390.6,-1.23962,13.9099,2.81,11.583,1276,5
11390.6,-1.23871,13.9053,2.81,11.583,1276,5
11390.6,-1.23932,13.9069,2.81,11.583,1276,5
11390.6,-1.23932,13.9053,2.81,11.583,1276,5
11390.6,-1.23901,13.9099,2.81,11.583,1276,5
11390.6,-1.23932,13.9084,2.81,11.583,1276,5
11390.6,-1.23901,13.9084,2.81,11.583,1276,5
11390.6,-1.23901,13.9069,2.81,11.583,1276,5
11390.6,-1.23901,13.9069,2.81,11.583,1276,5
11390.6,-1.23901,13.9084,2.81,11.583,1276,5
11390.6,-1.23932,13.9084,2.81,11.583,1276,5
11390.6,-1.23871,13.9069,2.81,11.583,1276,5
11390.6,-1.23932,13.9053,2.81,11.583,1276,5
11390.6,-1.2384,13.9084,2.81,11.583,1276,5
11390.6,-1.23871,13.9069,2.81,11.583,1276,5
11390.6,-1.23932,13.9069,2.81,11.583,1276,5
11390.6,-1.23444,13.9069,2.81,11.583,1276,5
11390.6,-1.23383,13.9038,2.81,11.583,1276,5
11390.6,-1.23444,13.9069,2.81,11.583,1276,5
11390.6,-1.23474,13.9069,2.81,11.583,1276,5
11390.6,-1.23322,13.9084,2.81,11.583,1276,5
11390.6,-1.23474,13.9053,2.81,11.583,1276,5
11390.6,-1.23413,13.9084,2.81,11.583,1276,5
11390.6,-1.23413,13.9084,2.81,11.583,1276,5
11390.7,-1.23383,13.9099,2.81,11.583,1276,5
11390.7,-1.23444,13.9053,2.81,11.583,1276,5
11390.7,-1.23383,13.9084,2.81,11.583,1276,5
11390.7,-1.23474,13.9053,2.81,11.583,1276,5
11390.7,-1.22925,13.9084,2.81,11.583,1276,5
11390.7,-1.22894,13.9053,2.81,11.583,1276,5
11390.7,-1.22986,13.9038,2.81,11.583,1276,5
11390.7,-1.22925,13.9099,2.81,11.583,1276,5
11390.7,-1.22955,13.9053,2.81,11.583,1276,5
11390.7,-1.22955,13.9023,2.81,11.583,1276,5
11390.7,-1.22925,13.9069,2.81,11.583,1276,5
11390.7,-1.22986,13.9084,2.81,11.583,1276,5
11390.7,-1.22925,13.9084,2.81,11.583,1276,5
11390.7,-1.22498,13.9099,2.81,11.583,1276,5
11390.7,-1.22406,13.9038,2.81,11.583,1276,5
11390.7,-1.22467,13.9038,2.81,11.583,1276,5
11390.7,-1.22498,13.9084,2.81,11.583,1276,5
11390.7,-1.22528,13.9099,2.81,11.583,1276,5
11390.7,-1.22437,13.9069,2.81,11.583,1276,5
11390.7,-1.22437,13.9114,2.81,11.583,1276,5
11390.7,-1.2207,13.9084,2.81,11.583,1276,5
11390.7,-1.21979,13.9069,2.81,11.583,1276,5
11390.7,-1.21979,13.9084,2.81,11.583,1276,5
11390.7,-1.21979,13.9084,2.81,11.583,1276,5
11390.7,-1.21948,13.9084,2.81,11.583,1276,5
11390.7,-1.21979,13.9069,2.81,11.583,1276,5
11390.7,-1.2149,13.9038,2.81,11.583,1276,5
11390.7,-1.21552,13.9069,2.81,11.583,1276,5
11390.7,-1.2146,13.9069,2.81,11.583,1276,5
11390.7,-1.2149,13.9099,2.81,11.583,1276,5
11390.7,-1.21429,13.9053,2.81,11.583,1276,5
11390.7,-1.2146,13.9099,2.81,11.583,1276,5
11390.7,-1.21002,13.9069,2.81,11.583,1276,5
11390.7,-1.2088,13.9053,2.81,11.583,1276,5
